Type,Kind,Topic,Keyword,Count
ALL,exclusive,Content moderation,App stores,29
ALL,exclusive,Content moderation,Freedom of speech or information,8
ALL,exclusive,Content moderation,Transparency in moderation/reporting,5
ALL,exclusive,Content moderation,Public interest,4
ALL,exclusive,Content moderation,Content moderation as industrial labour,4
ALL,exclusive,Content moderation,internet rights constitutionalism,3
ALL,exclusive,Content moderation,Free expression,3
ALL,exclusive,Content moderation,Content moderation as censorship,3
ALL,exclusive,Content moderation,Transparency,3
ALL,exclusive,Censorship,Translators / localisers,74
ALL,exclusive,Censorship,Flooding,10
ALL,exclusive,Debate management,value jurisprudence critique,3
ALL,pair,Content moderation + Censorship,Platform regulation,579
ALL,pair,Content moderation + Censorship,Platform oversight bodies,209
ALL,pair,Content moderation + Censorship,"Public-private partnerships (""free-speech triangle"")",162
ALL,pair,Content moderation + Censorship,Consumer protection / fair competition,100
ALL,pair,Content moderation + Censorship,Private firms,86
ALL,pair,Content moderation + Censorship,Distributors & booksellers,85
ALL,pair,Content moderation + Censorship,Infrastructural,82
ALL,pair,Content moderation + Censorship,Advertisers,80
ALL,pair,Content moderation + Debate management,Bridging,54
ALL,pair,Content moderation + AI alignment,Moderation as industrial labour,181
ALL,pair,Content moderation + AI alignment,AI labs as moderators,28
ALL,pair,Content moderation + AI alignment,RLHF annotators,18
ALL,pair,Censorship + Media regulation,Advisory classification / audience segmentation,34
ALL,triple,Content moderation + Censorship + Debate management,Constitutive,414
ALL,triple,Content moderation + Censorship + Debate management,Redirection,159
ALL,triple,Content moderation + Censorship + Debate management,Intermediate,157
ALL,triple,Content moderation + Censorship + Debate management,Debate management,115
ALL,triple,Content moderation + Censorship + Debate management,Mediators,84
ALL,triple,Content moderation + Censorship + Debate management,Inclusion,60
ALL,triple,Content moderation + Censorship + Media moderation,Economic pressure,376
ALL,triple,Content moderation + Censorship + Media moderation,Confiscation,160
ALL,triple,Content moderation + Censorship + Media moderation,Wartime necessity,104
ALL,triple,Content moderation + Censorship + Media moderation,Common carriage / neutral conduit,95
ALL,triple,Content moderation + Censorship + Media moderation,Media owners,94
ALL,triple,Content moderation + Censorship + Media moderation,Social responsibility / self-regulation,79
ALL,triple,Content moderation + Censorship + Media regulation,Broadcasting regulators,69
ALL,triple,Content moderation + Censorship + AI alignment,Censorship,585
ALL,triple,Content moderation + Censorship + AI alignment,Alignment with human values,125
ALL,triple,Censorship + Media moderation + Media regulation,Religious authorities,192
ALL,center,(≥4 categories),Removal,2808
